Station,Total,Lat,Lng
42 ST-PA BUS TE,591596,40.757303,-73.989787
SPRING ST,151421,40.722397,-73.997211
UTICA AVE,99268,40.679279,-73.930585
QUEENSBORO PLZ,70542,40.750508,-73.940177
161 ST-YANKEE,198271,40.827888,-73.925736
219 ST,22247,40.883767,-73.862736
LIVONIA AVE,19207,40.663801,-73.900444
20 AVE,54414,40.617373,-73.985088
JUNCTION BLVD,138535,40.749143,-73.869452
TOMPKINSVILLE,4540,40.636948,-74.074824
96 ST,483995,40.785822,-73.95097
SMITH-9 ST,31704,40.673714,-73.996139
PRINCE ST-B'WAY,106057,40.724332,-73.997684
42 ST-TIMES SQ,644749,40.755905,-73.986504
E 143 ST,5657,40.808742,-73.90769
59 ST-COLUMBUS,434649,40.76811,-73.981891
HOYT ST-ASTORIA,78653,40.770426,-73.917614
HOYT/SCHERMER,60622,40.688465,-73.985474
BEACH 44 ST,3996,40.593214,-73.776433
CYPRESS AVE,23822,40.805737,-73.914471
21 ST,53635,40.7541,-73.94258
1 AVE,150372,40.730901,-73.981719
HUDSON-80 ST,41616,40.679369,-73.85896
46 ST-BLISS ST,86728,40.743079,-73.918419
163 ST-AMSTERDM,27477,40.835957,-73.939898
110 ST-CPN,63142,40.79911,-73.951807
JOURNAL SQUARE,125626,40.732102,-74.063915
GRAND AV-NEWTON,110134,40.736998,-73.877242
9 ST,56790,40.67032,-73.988757
PARSONS BLVD,39453,40.707564,-73.803326
BROADWAY-ENY,59121,40.678848,-73.904139
WALL ST,291263,40.706864,-74.009056
23 ST-5 AVE,153927,40.741006,-73.989315
28 ST,230486,40.743095,-73.984251
45 ST,43991,40.648866,-74.010086
66 ST-LINCOLN,146681,40.773424,-73.982234
BEEBE-39 AVE,20611,40.753076,-73.93271
MAIN ST,371047,40.759578,-73.830056
SOUTH FERRY,79166,40.703082,-74.012983
BEACH 25 ST,11112,40.600138,-73.76152
14 ST-6 AVE,109569,40.737348,-73.9969
86 ST,679809,40.779485,-73.955541
GRAHAM AVE,63678,40.71459,-73.944104
BEVERLY ROAD,27238,40.645089,-73.948975
FT HAMILTON PKY,104296,40.650722,-73.975818
DELANCEY ST,96714,40.71838,-73.987813
PROSPECT PARK,65126,40.661596,-73.962193
33 ST/RAWSON ST,64760,40.744558,-73.930993
121 ST,15399,40.700536,-73.828382
CHRISTOPHER ST,97195,,
EAST BROADWAY,89093,40.713647,-73.990152
138 ST-3 AVE,48208,40.810512,-73.926165
CHAMBERS ST,413295,40.713159,-74.003917
CENTRAL AVE,20797,40.697673,-73.927131
NORWOOD-205 ST,52133,40.874827,-73.878872
MIDDLETOWN ROAD,12052,40.843635,-73.836687
18 ST,51801,40.741096,-73.997877
BROOKLYN BRIDGE,119805,40.713159,-74.003917
33 ST,190214,40.746119,-73.981826
68ST-HUNTER COL,189982,40.768143,-73.964016
174-175 ST,33158,40.845892,-73.910136
MYRTLE-WILLOUGH,36275,40.694568,-73.949046
ZEREGA AVE,13774,40.83646,-73.846471
RIT-MANHATTAN,32317,40.761268,-73.964016
DYRE AVE,24272,40.888244,-73.83085
AQUEDUCT TRACK,12596,40.668221,-73.834026
JAY ST-METROTEC,232627,40.692182,-73.985935
NORTHERN BLVD,45239,40.752898,-73.905973
EAST 105 ST,23505,40.650625,-73.899558
183 ST,39548,40.858389,-73.903828
LEXINGTON AVE,173436,40.764763,-73.966291
46 ST,57783,40.756312,-73.913333
CASTLE HILL AVE,40653,40.834255,-73.851222
BUSHWICK AVE,12170,40.682558,-73.905501
PARKSIDE AVE,34383,40.655053,-73.961227
BAY RIDGE-95 ST,36717,40.616624,-74.030964
THIRTY THIRD ST,143521,40.748931,-73.988113
BEACH 36 ST,5917,40.595381,-73.768194
GATES AVE,40348,40.689652,-73.922281
WAKEFIELD-241,34009,40.903085,-73.850591
HOUSTON ST,85168,40.728202,-74.005344
CHURCH AVE,235122,40.650843,-73.949575
FOREST AVE,25385,40.704424,-73.903077
ST LAWRENCE AVE,26250,40.8315,-73.867623
MORRIS PARK,11636,40.854137,-73.860977
